section,type,line_num,content
Integration1Lecture\1.02.WhatIsFME.md,insert,4,FMEDesktop
Integration1Lecture\1.02.WhatIsFME.md,insert,24,DataTranslation
Integration1Lecture\1.03.WhatIsDataTransformation.md,replace,2,DataTransformation
Integration1Lecture\1.03.WhatIsDataTransformation.md,replace,15,StructuralTransformation
Integration1Lecture\1.03.WhatIsDataTransformation.md,delete,16,16-18
Integration2LabDemonstration\2.21.IntegratedInspection.md,insert,20,PlacingAnInspectorTransformer
Integration2LabDemonstration\2.01.FMEDesktopComponents.md,delete,19,19-40
Integration2LabDemonstration\2.02.IntroductionToWorkbench.md,replace,14,Canvas
Integration2LabDemonstration\2.15.TransformationWithTransformers.md,insert,12,AddingTransformers
Integration2LabDemonstration\2.18.FeatureCounts.md,replace,2,FeatureCounts
includes\1.Exercise4.md,delete,0,0-51
includes\1.Exercise4.md,replace,52,SetNeighborhoodsSymbology
includes\1.Exercise4.md,replace,64,SetDrawOrder
includes\1.Exercise4.md,delete,72,72-211
Integration3LabExercises\3.04.Exercise3.md,replace,106,1.Exercise4
Integration3LabExercises\3.04.Exercise3.md,replace,150,Ex3Objectives
